category_id,level_id,q_text,choices,correct_index,explanation
1,1,"What is the main purpose of a risk assessment?","[""Increase staff"",""Decorate workplace"",""Improve marketing"",""Identify hazards""]",3,"Risk assessments identify hazards to prevent harm."
1,1,"Which item is an example of a workplace hazard?","[""Email inbox"",""Office chair"",""Wet floor"",""Clean desk""]",2,"A wet floor can cause slips."
1,1,"Synthetic question #1: Example content for item 1?","[""Option A for 1"",""Option B for 1"",""Option D for 1"",""Option C for 1""]",0,"Explanation for synthetic question #1."
1,1,"Synthetic question #2: Example content for item 2?","[""Option A for 2"",""Option C for 2"",""Option B for 2"",""Option D for 2""]",0,"Explanation for synthetic question #2."
1,1,"Synthetic question #3: Example content for item 3?","[""Option B for 3"",""Option A for 3"",""Option C for 3"",""Option D for 3""]",1,"Explanation for synthetic question #3."
1,1,"Synthetic question #4: Example content for item 4?","[""Option C for 4"",""Option B for 4"",""Option A for 4"",""Option D for 4""]",2,"Explanation for synthetic question #4."
1,1,"Synthetic question #5: Example content for item 5?","[""Option A for 5"",""Option D for 5"",""Option B for 5"",""Option C for 5""]",0,"Explanation for synthetic question #5."
1,1,"Synthetic question #6: Example content for item 6?","[""Option D for 6"",""Option C for 6"",""Option B for 6"",""Option A for 6""]",3,"Explanation for synthetic question #6."
1,1,"Synthetic question #7: Example content for item 7?","[""Option C for 7"",""Option D for 7"",""Option B for 7"",""Option A for 7""]",3,"Explanation for synthetic question #7."
1,1,"Synthetic question #8: Example content for item 8?","[""Option A for 8"",""Option C for 8"",""Option D for 8"",""Option B for 8""]",0,"Explanation for synthetic question #8."
1,1,"Synthetic question #9: Example content for item 9?","[""Option B for 9"",""Option D for 9"",""Option A for 9"",""Option C for 9""]",2,"Explanation for synthetic question #9."
1,1,"Synthetic question #10: Example content for item 10?","[""Option C for 10"",""Option B for 10"",""Option D for 10"",""Option A for 10""]",3,"Explanation for synthetic question #10."
1,1,"Synthetic question #11: Example content for item 11?","[""Option B for 11"",""Option D for 11"",""Option C for 11"",""Option A for 11""]",3,"Explanation for synthetic question #11."
1,1,"Synthetic question #12: Example content for item 12?","[""Option C for 12"",""Option D for 12"",""Option A for 12"",""Option B for 12""]",2,"Explanation for synthetic question #12."
1,1,"Synthetic question #13: Example content for item 13?","[""Option A for 13"",""Option D for 13"",""Option B for 13"",""Option C for 13""]",0,"Explanation for synthetic question #13."
1,1,"Synthetic question #14: Example content for item 14?","[""Option B for 14"",""Option A for 14"",""Option D for 14"",""Option C for 14""]",1,"Explanation for synthetic question #14."
1,1,"Synthetic question #15: Example content for item 15?","[""Option B for 15"",""Option C for 15"",""Option D for 15"",""Option A for 15""]",3,"Explanation for synthetic question #15."
1,1,"Synthetic question #16: Example content for item 16?","[""Option A for 16"",""Option B for 16"",""Option C for 16"",""Option D for 16""]",0,"Explanation for synthetic question #16."
1,1,"Synthetic question #17: Example content for item 17?","[""Option B for 17"",""Option C for 17"",""Option A for 17"",""Option D for 17""]",2,"Explanation for synthetic question #17."
1,1,"Synthetic question #18: Example content for item 18?","[""Option D for 18"",""Option A for 18"",""Option B for 18"",""Option C for 18""]",1,"Explanation for synthetic question #18."
1,1,"Synthetic question #19: Example content for item 19?","[""Option C for 19"",""Option D for 19"",""Option A for 19"",""Option B for 19""]",2,"Explanation for synthetic question #19."
1,1,"Synthetic question #20: Example content for item 20?","[""Option C for 20"",""Option B for 20"",""Option A for 20"",""Option D for 20""]",2,"Explanation for synthetic question #20."
1,1,"Synthetic question #21: Example content for item 21?","[""Option B for 21"",""Option D for 21"",""Option A for 21"",""Option C for 21""]",2,"Explanation for synthetic question #21."
1,1,"Synthetic question #22: Example content for item 22?","[""Option D for 22"",""Option A for 22"",""Option B for 22"",""Option C for 22""]",1,"Explanation for synthetic question #22."
1,1,"Synthetic question #23: Example content for item 23?","[""Option B for 23"",""Option A for 23"",""Option D for 23"",""Option C for 23""]",1,"Explanation for synthetic question #23."
1,1,"Synthetic question #24: Example content for item 24?","[""Option C for 24"",""Option D for 24"",""Option B for 24"",""Option A for 24""]",3,"Explanation for synthetic question #24."
1,1,"Synthetic question #25: Example content for item 25?","[""Option A for 25"",""Option C for 25"",""Option D for 25"",""Option B for 25""]",0,"Explanation for synthetic question #25."
1,1,"Synthetic question #26: Example content for item 26?","[""Option B for 26"",""Option C for 26"",""Option D for 26"",""Option A for 26""]",3,"Explanation for synthetic question #26."
1,1,"Synthetic question #27: Example content for item 27?","[""Option C for 27"",""Option B for 27"",""Option A for 27"",""Option D for 27""]",2,"Explanation for synthetic question #27."
1,1,"Synthetic question #28: Example content for item 28?","[""Option C for 28"",""Option A for 28"",""Option D for 28"",""Option B for 28""]",1,"Explanation for synthetic question #28."
1,1,"Synthetic question #29: Example content for item 29?","[""Option D for 29"",""Option A for 29"",""Option B for 29"",""Option C for 29""]",1,"Explanation for synthetic question #29."
1,1,"Synthetic question #30: Example content for item 30?","[""Option C for 30"",""Option D for 30"",""Option B for 30"",""Option A for 30""]",3,"Explanation for synthetic question #30."
1,1,"Synthetic question #31: Example content for item 31?","[""Option A for 31"",""Option D for 31"",""Option C for 31"",""Option B for 31""]",0,"Explanation for synthetic question #31."
1,1,"Synthetic question #32: Example content for item 32?","[""Option A for 32"",""Option D for 32"",""Option C for 32"",""Option B for 32""]",0,"Explanation for synthetic question #32."
1,1,"Synthetic question #33: Example content for item 33?","[""Option A for 33"",""Option D for 33"",""Option B for 33"",""Option C for 33""]",0,"Explanation for synthetic question #33."
1,1,"Synthetic question #34: Example content for item 34?","[""Option A for 34"",""Option B for 34"",""Option C for 34"",""Option D for 34""]",0,"Explanation for synthetic question #34."
1,1,"Synthetic question #35: Example content for item 35?","[""Option B for 35"",""Option D for 35"",""Option C for 35"",""Option A for 35""]",3,"Explanation for synthetic question #35."
1,1,"Synthetic question #36: Example content for item 36?","[""Option D for 36"",""Option B for 36"",""Option C for 36"",""Option A for 36""]",3,"Explanation for synthetic question #36."
1,1,"Synthetic question #37: Example content for item 37?","[""Option C for 37"",""Option B for 37"",""Option A for 37"",""Option D for 37""]",2,"Explanation for synthetic question #37."
1,1,"Synthetic question #38: Example content for item 38?","[""Option A for 38"",""Option B for 38"",""Option C for 38"",""Option D for 38""]",0,"Explanation for synthetic question #38."
1,1,"Synthetic question #39: Example content for item 39?","[""Option C for 39"",""Option D for 39"",""Option A for 39"",""Option B for 39""]",2,"Explanation for synthetic question #39."
1,1,"Synthetic question #40: Example content for item 40?","[""Option D for 40"",""Option B for 40"",""Option A for 40"",""Option C for 40""]",2,"Explanation for synthetic question #40."
1,1,"Synthetic question #41: Example content for item 41?","[""Option C for 41"",""Option D for 41"",""Option A for 41"",""Option B for 41""]",2,"Explanation for synthetic question #41."
1,1,"Synthetic question #42: Example content for item 42?","[""Option C for 42"",""Option D for 42"",""Option A for 42"",""Option B for 42""]",2,"Explanation for synthetic question #42."
1,1,"Synthetic question #43: Example content for item 43?","[""Option C for 43"",""Option D for 43"",""Option B for 43"",""Option A for 43""]",3,"Explanation for synthetic question #43."
1,1,"Synthetic question #44: Example content for item 44?","[""Option A for 44"",""Option C for 44"",""Option B for 44"",""Option D for 44""]",0,"Explanation for synthetic question #44."
1,1,"Synthetic question #45: Example content for item 45?","[""Option B for 45"",""Option D for 45"",""Option A for 45"",""Option C for 45""]",2,"Explanation for synthetic question #45."
1,1,"Synthetic question #46: Example content for item 46?","[""Option D for 46"",""Option A for 46"",""Option C for 46"",""Option B for 46""]",1,"Explanation for synthetic question #46."
1,1,"Synthetic question #47: Example content for item 47?","[""Option B for 47"",""Option A for 47"",""Option C for 47"",""Option D for 47""]",1,"Explanation for synthetic question #47."
1,1,"Synthetic question #48: Example content for item 48?","[""Option C for 48"",""Option D for 48"",""Option B for 48"",""Option A for 48""]",3,"Explanation for synthetic question #48."
1,1,"Synthetic question #49: Example content for item 49?","[""Option D for 49"",""Option A for 49"",""Option B for 49"",""Option C for 49""]",1,"Explanation for synthetic question #49."
1,1,"Synthetic question #50: Example content for item 50?","[""Option D for 50"",""Option B for 50"",""Option C for 50"",""Option A for 50""]",3,"Explanation for synthetic question #50."
1,1,"Synthetic question #51: Example content for item 51?","[""Option B for 51"",""Option C for 51"",""Option A for 51"",""Option D for 51""]",2,"Explanation for synthetic question #51."
1,1,"Synthetic question #52: Example content for item 52?","[""Option C for 52"",""Option B for 52"",""Option D for 52"",""Option A for 52""]",3,"Explanation for synthetic question #52."
1,1,"Synthetic question #53: Example content for item 53?","[""Option D for 53"",""Option A for 53"",""Option B for 53"",""Option C for 53""]",1,"Explanation for synthetic question #53."
1,1,"Synthetic question #54: Example content for item 54?","[""Option C for 54"",""Option B for 54"",""Option A for 54"",""Option D for 54""]",2,"Explanation for synthetic question #54."
1,1,"Synthetic question #55: Example content for item 55?","[""Option D for 55"",""Option A for 55"",""Option C for 55"",""Option B for 55""]",1,"Explanation for synthetic question #55."
1,1,"Synthetic question #56: Example content for item 56?","[""Option B for 56"",""Option A for 56"",""Option C for 56"",""Option D for 56""]",1,"Explanation for synthetic question #56."
1,1,"Synthetic question #57: Example content for item 57?","[""Option D for 57"",""Option C for 57"",""Option B for 57"",""Option A for 57""]",3,"Explanation for synthetic question #57."
1,1,"Synthetic question #58: Example content for item 58?","[""Option A for 58"",""Option C for 58"",""Option D for 58"",""Option B for 58""]",0,"Explanation for synthetic question #58."
1,1,"Synthetic question #59: Example content for item 59?","[""Option B for 59"",""Option A for 59"",""Option C for 59"",""Option D for 59""]",1,"Explanation for synthetic question #59."
1,1,"Synthetic question #60: Example content for item 60?","[""Option D for 60"",""Option B for 60"",""Option C for 60"",""Option A for 60""]",3,"Explanation for synthetic question #60."
1,1,"Synthetic question #61: Example content for item 61?","[""Option D for 61"",""Option B for 61"",""Option A for 61"",""Option C for 61""]",2,"Explanation for synthetic question #61."
1,1,"Synthetic question #62: Example content for item 62?","[""Option A for 62"",""Option D for 62"",""Option C for 62"",""Option B for 62""]",0,"Explanation for synthetic question #62."
1,1,"Synthetic question #63: Example content for item 63?","[""Option C for 63"",""Option A for 63"",""Option D for 63"",""Option B for 63""]",1,"Explanation for synthetic question #63."
1,1,"Synthetic question #64: Example content for item 64?","[""Option A for 64"",""Option B for 64"",""Option C for 64"",""Option D for 64""]",0,"Explanation for synthetic question #64."
1,1,"Synthetic question #65: Example content for item 65?","[""Option D for 65"",""Option A for 65"",""Option C for 65"",""Option B for 65""]",1,"Explanation for synthetic question #65."
